customer_id,wkt
1,"POINT (44.513 40.187)"
2,"POINT (44.505 40.179)"
3,"POINT (44.497 40.174)"
4,"POINT (44.520 40.190)"
5,"POINT (44.488 40.181)"
6,"POINT (44.505 40.169)"
7,"POINT (44.530 40.200)"
8,"POINT (44.470 40.160)"
9,"POINT (44.515 40.155)"
10,"POINT (44.540 40.170)"
11,"POINT (44.483 40.190)"
12,"POINT (44.500 40.210)"
13,"POINT (44.490 40.165)"
14,"POINT (44.460 40.180)"
15,"POINT (44.790 41.710)"
16,"POINT (44.795 41.720)"
17,"POINT (44.800 41.705)"
18,"POINT (41.640 41.640)"
19,"POINT (41.650 41.645)"
20,"POINT (41.635 41.630)"
