order_id,order_date,year,quarter,month
0,2022-09-02 02:34:27.019563,2022,3,September
1,2023-08-13 09:26:27.649033,2023,3,August
2,2022-12-19 11:36:52.718918,2022,4,December
3,2023-12-10 08:58:52.678754,2023,4,December
4,2021-05-19 23:18:18.968594,2021,2,May
5,2023-06-21 01:55:55.748708,2023,2,June
6,2020-07-14 15:53:27.649386,2020,3,July
7,2022-03-21 07:17:24.191700,2022,1,March
8,2020-11-27 05:56:10.187381,2020,4,November
9,2022-06-23 09:12:37.164937,2022,2,June
10,2023-09-11 06:12:40.481628,2023,3,September
11,2022-07-13 22:51:57.378522,2022,3,July
12,2022-11-14 08:01:39.089592,2022,4,November
13,2021-10-28 14:46:01.466433,2021,4,October
14,2021-07-03 00:09:16.746386,2021,3,July
15,2022-10-06 11:10:24.410559,2022,4,October
16,2023-05-31 08:03:36.595243,2023,2,May
17,2022-07-10 15:12:28.640206,2022,3,July
18,2022-12-17 14:06:11.639556,2022,4,December
19,2023-11-13 20:37:40.589741,2023,4,November
20,2023-09-02 00:54:54.173925,2023,3,September
21,2021-01-14 00:37:49.930581,2021,1,January
22,2020-02-16 19:48:09.098961,2020,1,February
23,2022-10-28 14:51:45.662602,2022,4,October
24,2022-12-30 14:01:56.418989,2022,4,December
25,2023-12-18 16:23:09.031753,2023,4,December
26,2023-08-25 08:26:31.748868,2023,3,August
27,2021-02-26 08:46:15.958118,2021,1,February
28,2020-11-16 01:22:05.123700,2020,4,November
29,2023-02-20 11:38:46.544613,2023,1,February
30,2022-05-09 12:15:46.819022,2022,2,May
31,2022-03-11 15:54:52.450263,2022,1,March
32,2023-01-31 05:04:33.576568,2023,1,January
33,2022-07-12 20:19:52.891732,2022,3,July
34,2020-12-20 18:15:52.235448,2020,4,December
35,2020-07-23 15:58:01.442732,2020,3,July
36,2020-04-03 12:03:31.852460,2020,2,April
37,2020-05-25 05:52:08.936441,2020,2,May
38,2020-06-23 10:46:53.334424,2020,2,June
39,2021-09-29 09:23:06.102762,2021,3,September
40,2022-10-29 01:12:31.645466,2022,4,October
41,2023-06-23 17:05:12.777246,2023,2,June
42,2022-10-30 07:02:08.645992,2022,4,October
43,2023-06-02 01:51:58.027963,2023,2,June
44,2023-06-18 15:28:31.084583,2023,2,June
