transaction_id,order_id,product_id,customer_id,employee_id,total_sales,quantity,discount
1,63,94,206,49,352.16,8,0.08
2,4,69,1980,31,151.23,10,0.49
3,182,4,142,59,64.03,6,0.16
4,167,67,1721,87,491.4,4,0.04
5,139,28,1949,78,13.3,9,0.28
6,124,58,327,77,379.73,5,0.47
7,62,72,953,87,451.55,10,0.09
8,166,24,1013,99,204.7,5,0.09
9,185,29,473,34,467.82,2,0.09
10,114,71,256,15,425.58,9,0.44
11,168,63,641,1,436.33,2,0.5
12,92,87,1796,69,449.97,4,0.31
13,165,62,1217,56,457.88,3,0.29
14,69,2,1611,70,369.83,9,0.19
15,188,75,1934,13,117.14,3,0.4
16,84,63,275,62,112.76,4,0.39
17,73,27,1134,18,279.07,7,0.06
18,2,96,758,82,284.51,9,0.44
19,113,56,872,77,12.47,6,0.32
20,12,55,1926,21,56.6,7,0.05
21,40,72,390,92,340.23,5,0.26
22,170,69,1870,97,256.56,4,0.26
23,171,83,324,34,366.33,8,0.33
24,99,44,896,71,434.78,3,0.08
25,38,77,79,49,393.63,6,0.25
26,22,23,439,48,480.92,5,0.07
27,99,10,167,65,195.87,6,0.43
28,10,34,1152,90,32.19,6,0.17
29,62,96,660,27,445.27,10,0.12
30,94,27,1245,83,351.31,4,0.34
31,128,28,198,99,207.23,7,0.25
32,7,87,1888,78,282.96,6,0.02
33,34,76,1883,87,242.91,1,0.34
34,42,90,1943,82,476.2,2,0.17
35,125,20,1850,47,90.86,5,0.36
36,102,25,298,10,405.55,9,0.02
37,103,20,24,3,346.8,8,0.43
38,36,80,1878,28,117.12,6,0.27
39,45,97,1180,67,459.92,6,0.05
40,106,18,272,24,152.31,4,0.44
41,140,13,340,22,202.13,1,0.49
42,178,88,355,24,491.38,7,0.47
43,151,12,699,17,55.42,6,0.47
44,61,46,1900,94,142.95,10,0.23
45,12,52,1932,5,390.59,2,0.14
46,33,69,1108,95,62.78,6,0.33
47,109,24,1116,58,250.47,7,0.36
48,90,64,374,29,125.99,3,0.03
49,192,40,245,22,310.94,2,0.04
50,94,50,1702,2,218.45,8,0.08
51,70,10,180,68,321.46,9,0.34
52,31,58,199,93,496.47,6,0.04
53,121,79,719,28,210.13,2,0.28
54,149,100,1066,58,474.47,7,0.17
55,17,50,1391,13,244.57,8,0.46
56,6,74,704,88,385.71,10,0.21
57,38,49,1715,39,455.35,1,0.3
58,53,99,1824,74,167.01,8,0.14
59,192,3,545,86,142.74,8,0.01
60,58,59,1191,43,470.74,3,0.44
